pitcairn         | bpe  1| am  1|  64x1  | {X0, X1, X2, X3, X4, X5}
renoir           | bpe  8| sw 24| 128x64 | {0, 0, 0, X0, Y0, X1, Y1, X2, X4^Y2, X3^Y3, Y3, X4, Y4, X5, Y5, X6}
renoir           | bpe  8| sw 25| 128x64 | {0, 0, 0, X0, Y0, Y1, X1, X2, X4^Y2, X3^Y3, Y3, X4, Y4, X5, Y5, X6}
renoir           | bpe  8| sw 26| 128x64 | {0, 0, 0, X0, Y0, X1, X2, Y1, X4^Y2, X3^Y3, Y3, X4, Y4, X5, Y5, X6}
renoir           | bpe  8| sw 27| 128x64 | {0, 0, 0, Y0, X0, Y1, X1, X2, X4^Y2, X3^Y3, Y3, X4, Y4, X5, Y5, X6}
renoir           | bpe 16| sw  0|  16x1  | {0, 0, 0, 0, X0, X1, X2, X3}
renoir           | bpe 16| sw  1|   4x4  | {0, 0, 0, 0, Y0, Y1, X0, X1}
renoir           | bpe 16| sw  2|   4x4  | {0, 0, 0, 0, X0, Y0, X1, Y1}
renoir           | bpe 16| sw  5|  16x16 | {0, 0, 0, 0, Y0, Y1, X0, X1, Y2, X2, Y3, X3}
renoir           | bpe 16| sw  6|  16x16 | {0, 0, 0, 0, X0, Y0, X1, Y1, Y2, X2, Y3, X3}
renoir           | bpe 16| sw  9|  64x64 | {0, 0, 0, 0, Y0, Y1, X0, X1, Y2, X2, Y3, X3, Y4, X4, Y5, X5}
renoir           | bpe 16| sw 10|  64x64 | {0, 0, 0, 0, X0, Y0, X1, Y1, Y2, X2, Y3, X3, Y4, X4, Y5, X5}
renoir           | bpe 16| sw 17|  64x64 | {0, 0, 0, 0, Y0, Y1, X0, X1, X3^Y2, X2^Y3, Y3, X3, Y4, X4, Y5, X5}
renoir           | bpe 16| sw 18|  64x64 | {0, 0, 0, 0, X0, Y0, X1, Y1, X3^Y2, X2^Y3, Y3, X3, Y4, X4, Y5, X5}
renoir           | bpe 16| sw 21|  16x16 | {0, 0, 0, 0, Y0, Y1, X0, X1, X3^Y2, X2^Y3, Y3, X3}
renoir           | bpe 16| sw 22|  16x16 | {0, 0, 0, 0, X0, Y0, X1, Y1, X3^Y2, X2^Y3, Y3, X3}
renoir           | bpe 16| sw 25|  64x64 | {0, 0, 0, 0, Y0, Y1, X0, X1, X3^Y2, X2^Y3, Y3, X3, Y4, X4, Y5, X5}
renoir           | bpe 16| sw 26|  64x64 | {0, 0, 0, 0, X0, Y0, X1, Y1, X3^Y2, X2^Y3, Y3, X3, Y4, X4, Y5, X5}
vega20           | bpe  1| sw  0| 256x1  | {X0, X1, X2, X3, X4, X5, X6, X7}
vega20           | bpe  1| sw  1|  16x16 | {X0, X1, X2, X3, Y0, Y1, Y2, Y3}
vega20           | bpe  1| sw  2|  16x16 | {X0, X1, X2, Y1, Y0, Y2, X3, Y3}
vega20           | bpe  1| sw  3|  16x16 | {Y0, Y1, Y2, X1, X0, X2, X3, Y3}
vega20           | bpe  1| sw  4|  64x64 | {X0, Y0, X1, Y1, X2, Y2, Y3, X3, Y4, X4, Y5, X5}
vega20           | bpe  1| sw  5|  64x64 | {X0, X1, X2, X3, Y0, Y1, Y2, Y3, Y4, X4, Y5, X5}
vega20           | bpe  1| sw  6|  64x64 | {X0, X1, X2, Y1, Y0, Y2, X3, Y3, Y4, X4, Y5, X5}
vega20           | bpe  1| sw  7|  64x64 | {Y0, Y1, Y2, X1, X0, X2, X3, Y3, Y4, X4, Y5, X5}
vega20           | bpe  1| sw  8| 256x256| {X0, Y0, X1, Y1, X2, Y2, Y3, X3, Y4, X4, Y5, X5, Y6, X6, Y7, X7}
vega20           | bpe  1| sw  9| 256x256| {X0, X1, X2, X3, Y0, Y1, Y2, Y3, Y4, X4, Y5, X5, Y6, X6, Y7, X7}
vega20           | bpe  1| sw 10| 256x256| {X0, X1, X2, Y1, Y0, Y2, X3, Y3, Y4, X4, Y5, X5, Y6, X6, Y7, X7}
vega20           | bpe  1| sw 11| 256x256| {Y0, Y1, Y2, X1, X0, X2, X3, Y3, Y4, X4, Y5, X5, Y6, X6, Y7, X7}
vega20           | bpe  1| sw 16| 256x256| {X0, Y0, X1, Y1, X2, Y2, Y3, X3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
vega20           | bpe  1| sw 17| 256x256| {X0, X1, X2, X3, Y0, Y1, Y2, Y3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
vega20           | bpe  1| sw 18| 256x256| {X0, X1, X2, Y1, Y0, Y2, X3, Y3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
vega20           | bpe  1| sw 19| 256x256| {Y0, Y1, Y2, X1, X0, X2, X3, Y3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
vega20           | bpe  1| sw 20|  64x64 | {X0, Y0, X1, Y1, X2, Y2, Y3, X3, Y4, X4, Y5, X5}
vega20           | bpe  1| sw 21|  64x64 | {X0, X1, X2, X3, Y0, Y1, Y2, Y3, Y4, X4, Y5, X5}
vega20           | bpe  1| sw 22|  64x64 | {X0, X1, X2, Y1, Y0, Y2, X3, Y3, Y4, X4, Y5, X5}
vega20           | bpe  1| sw 23|  64x64 | {Y0, Y1, Y2, X1, X0, X2, X3, Y3, Y4, X4, Y5, X5}
vega20           | bpe  1| sw 24| 256x256| {X0, Y0, X1, Y1, X2, Y2, Y3, X3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
vega20           | bpe  1| sw 25| 256x256| {X0, X1, X2, X3, Y0, Y1, Y2, Y3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
vega20           | bpe  1| sw 26| 256x256| {X0, X1, X2, Y1, Y0, Y2, X3, Y3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
vega20           | bpe  1| sw 27| 256x256| {Y0, Y1, Y2, X1, X0, X2, X3, Y3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
vega20           | bpe  2| sw  0| 128x1  | {0, X0, X1, X2, X3, X4, X5, X6}
vega20           | bpe  2| sw  1|  16x8  | {0, X0, X1, X2, Y0, Y1, Y2, X3}
vega20           | bpe  2| sw  2|  16x8  | {0, X0, X1, X2, Y0, Y1, Y2, X3}
vega20           | bpe  2| sw  3|  16x8  | {0, Y0, Y1, Y2, X0, X1, X2, X3}
vega20           | bpe  2| sw  4|  64x32 | {0, X0, Y0, X1, Y1, X2, Y2, X3, Y3, X4, Y4, X5}
vega20           | bpe  2| sw  5|  64x32 | {0, X0, X1, X2, Y0, Y1, Y2, X3, Y3, X4, Y4, X5}
vega20           | bpe  2| sw  6|  64x32 | {0, X0, X1, X2, Y0, Y1, Y2, X3, Y3, X4, Y4, X5}
vega20           | bpe  2| sw  7|  64x32 | {0, Y0, Y1, Y2, X0, X1, X2, X3, Y3, X4, Y4, X5}
vega20           | bpe  2| sw  8| 256x128| {0, X0, Y0, X1, Y1, X2, Y2, X3, Y3, X4, Y4, X5, Y5, X6, Y6, X7}
vega20           | bpe  2| sw  9| 256x128| {0, X0, X1, X2, Y0, Y1, Y2, X3, Y3, X4, Y4, X5, Y5, X6, Y6, X7}
vega20           | bpe  2| sw 10| 256x128| {0, X0, X1, X2, Y0, Y1, Y2, X3, Y3, X4, Y4, X5, Y5, X6, Y6, X7}
vega20           | bpe  2| sw 11| 256x128| {0, Y0, Y1, Y2, X0, X1, X2, X3, Y3, X4, Y4, X5, Y5, X6, Y6, X7}
vega20           | bpe  2| sw 16| 256x128| {0, X0, Y0, X1, Y1, X2, Y2, X3, X7^Y3, X4^Y6, X6^Y4, X5^Y5, Y5, X6, Y6, X7}
vega20           | bpe  2| sw 17| 256x128| {0, X0, X1, X2, Y0, Y1, Y2, X3, X7^Y3, X4^Y6, X6^Y4, X5^Y5, Y5, X6, Y6, X7}
vega20           | bpe  2| sw 18| 256x128| {0, X0, X1, X2, Y0, Y1, Y2, X3, X7^Y3, X4^Y6, X6^Y4, X5^Y5, Y5, X6, Y6, X7}
vega20           | bpe  2| sw 19| 256x128| {0, Y0, Y1, Y2, X0, X1, X2, X3, X7^Y3, X4^Y6, X6^Y4, X5^Y5, Y5, X6, Y6, X7}
vega20           | bpe  2| sw 20|  64x32 | {0, X0, Y0, X1, Y1, X2, Y2, X3, Y3, X4, Y4, X5}
vega20           | bpe  2| sw 21|  64x32 | {0, X0, X1, X2, Y0, Y1, Y2, X3, Y3, X4, Y4, X5}
vega20           | bpe  2| sw 22|  64x32 | {0, X0, X1, X2, Y0, Y1, Y2, X3, Y3, X4, Y4, X5}
vega20           | bpe  2| sw 23|  64x32 | {0, Y0, Y1, Y2, X0, X1, X2, X3, Y3, X4, Y4, X5}
vega20           | bpe  2| sw 24| 256x128| {0, X0, Y0, X1, Y1, X2, Y2, X3, X7^Y3, X4^Y6, X6^Y4, X5^Y5, Y5, X6, Y6, X7}
vega20           | bpe  2| sw 25| 256x128| {0, X0, X1, X2, Y0, Y1, Y2, X3, X7^Y3, X4^Y6, X6^Y4, X5^Y5, Y5, X6, Y6, X7}
vega20           | bpe  2| sw 26| 256x128| {0, X0, X1, X2, Y0, Y1, Y2, X3, X7^Y3, X4^Y6, X6^Y4, X5^Y5, Y5, X6, Y6, X7}
vega20           | bpe  2| sw 27| 256x128| {0, Y0, Y1, Y2, X0, X1, X2, X3, X7^Y3, X4^Y6, X6^Y4, X5^Y5, Y5, X6, Y6, X7}
vega20           | bpe  4| sw  0|  64x1  | {0, 0, X0, X1, X2, X3, X4, X5}
vega20           | bpe  4| sw  1|   8x8  | {0, 0, X0, X1, Y0, Y1, Y2, X2}
vega20           | bpe  4| sw  2|   8x8  | {0, 0, X0, X1, Y0, X2, Y1, Y2}
vega20           | bpe  4| sw  3|   8x8  | {0, 0, Y0, Y1, X0, Y2, X1, X2}
vega20           | bpe  4| sw  4|  32x32 | {0, 0, X0, Y0, X1, Y1, Y2, X2, Y3, X3, Y4, X4}
vega20           | bpe  4| sw  5|  32x32 | {0, 0, X0, X1, Y0, Y1, Y2, X2, Y3, X3, Y4, X4}
vega20           | bpe  4| sw  6|  32x32 | {0, 0, X0, X1, Y0, X2, Y1, Y2, Y3, X3, Y4, X4}
vega20           | bpe  4| sw  7|  32x32 | {0, 0, Y0, Y1, X0, Y2, X1, X2, Y3, X3, Y4, X4}
vega20           | bpe  4| sw  8| 128x128| {0, 0, X0, Y0, X1, Y1, Y2, X2, Y3, X3, Y4, X4, Y5, X5, Y6, X6}
vega20           | bpe  4| sw  9| 128x128| {0, 0, X0, X1, Y0, Y1, Y2, X2, Y3, X3, Y4, X4, Y5, X5, Y6, X6}
vega20           | bpe  4| sw 10| 128x128| {0, 0, X0, X1, Y0, X2, Y1, Y2, Y3, X3, Y4, X4, Y5, X5, Y6, X6}
vega20           | bpe  4| sw 11| 128x128| {0, 0, Y0, Y1, X0, Y2, X1, X2, Y3, X3, Y4, X4, Y5, X5, Y6, X6}
vega20           | bpe  4| sw 16| 128x128| {0, 0, X0, Y0, X1, Y1, Y2, X2, X6^Y3, X3^Y6, X5^Y4, X4^Y5, Y5, X5, Y6, X6}
vega20           | bpe  4| sw 17| 128x128| {0, 0, X0, X1, Y0, Y1, Y2, X2, X6^Y3, X3^Y6, X5^Y4, X4^Y5, Y5, X5, Y6, X6}
vega20           | bpe  4| sw 18| 128x128| {0, 0, X0, X1, Y0, X2, Y1, Y2, X6^Y3, X3^Y6, X5^Y4, X4^Y5, Y5, X5, Y6, X6}
vega20           | bpe  4| sw 19| 128x128| {0, 0, Y0, Y1, X0, Y2, X1, X2, X6^Y3, X3^Y6, X5^Y4, X4^Y5, Y5, X5, Y6, X6}
vega20           | bpe  4| sw 20|  32x32 | {0, 0, X0, Y0, X1, Y1, Y2, X2, Y3, X3, Y4, X4}
vega20           | bpe  4| sw 21|  32x32 | {0, 0, X0, X1, Y0, Y1, Y2, X2, Y3, X3, Y4, X4}
vega20           | bpe  4| sw 22|  32x32 | {0, 0, X0, X1, Y0, X2, Y1, Y2, Y3, X3, Y4, X4}
vega20           | bpe  4| sw 23|  32x32 | {0, 0, Y0, Y1, X0, Y2, X1, X2, Y3, X3, Y4, X4}
vega20           | bpe  4| sw 24| 128x128| {0, 0, X0, Y0, X1, Y1, Y2, X2, X6^Y3, X3^Y6, X5^Y4, X4^Y5, Y5, X5, Y6, X6}
vega20           | bpe  4| sw 25| 128x128| {0, 0, X0, X1, Y0, Y1, Y2, X2, X6^Y3, X3^Y6, X5^Y4, X4^Y5, Y5, X5, Y6, X6}
vega20           | bpe  4| sw 26| 128x128| {0, 0, X0, X1, Y0, X2, Y1, Y2, X6^Y3, X3^Y6, X5^Y4, X4^Y5, Y5, X5, Y6, X6}
vega20           | bpe  4| sw 27| 128x128| {0, 0, Y0, Y1, X0, Y2, X1, X2, X6^Y3, X3^Y6, X5^Y4, X4^Y5, Y5, X5, Y6, X6}
vega20           | bpe  8| sw  0|  32x1  | {0, 0, 0, X0, X1, X2, X3, X4}
vega20           | bpe  8| sw  1|   8x4  | {0, 0, 0, X0, Y0, Y1, X1, X2}
vega20           | bpe  8| sw  2|   8x4  | {0, 0, 0, X0, Y0, X1, X2, Y1}
vega20           | bpe  8| sw  3|   8x4  | {0, 0, 0, Y0, X0, Y1, X1, X2}
vega20           | bpe  8| sw  4|  32x16 | {0, 0, 0, X0, Y0, X1, Y1, X2, Y2, X3, Y3, X4}
vega20           | bpe  8| sw  5|  32x16 | {0, 0, 0, X0, Y0, Y1, X1, X2, Y2, X3, Y3, X4}
vega20           | bpe  8| sw  6|  32x16 | {0, 0, 0, X0, Y0, X1, X2, Y1, Y2, X3, Y3, X4}
vega20           | bpe  8| sw  7|  32x16 | {0, 0, 0, Y0, X0, Y1, X1, X2, Y2, X3, Y3, X4}
vega20           | bpe  8| sw  8| 128x64 | {0, 0, 0, X0, Y0, X1, Y1, X2, Y2, X3, Y3, X4, Y4, X5, Y5, X6}
vega20           | bpe  8| sw  9| 128x64 | {0, 0, 0, X0, Y0, Y1, X1, X2, Y2, X3, Y3, X4, Y4, X5, Y5, X6}
vega20           | bpe  8| sw 10| 128x64 | {0, 0, 0, X0, Y0, X1, X2, Y1, Y2, X3, Y3, X4, Y4, X5, Y5, X6}
vega20           | bpe  8| sw 11| 128x64 | {0, 0, 0, Y0, X0, Y1, X1, X2, Y2, X3, Y3, X4, Y4, X5, Y5, X6}
vega20           | bpe  8| sw 16| 128x64 | {0, 0, 0, X0, Y0, X1, Y1, X2, X6^Y2, X3^Y5, X5^Y3, X4^Y4, Y4, X5, Y5, X6}
vega20           | bpe  8| sw 17| 128x64 | {0, 0, 0, X0, Y0, Y1, X1, X2, X6^Y2, X3^Y5, X5^Y3, X4^Y4, Y4, X5, Y5, X6}
vega20           | bpe  8| sw 18| 128x64 | {0, 0, 0, X0, Y0, X1, X2, Y1, X6^Y2, X3^Y5, X5^Y3, X4^Y4, Y4, X5, Y5, X6}
vega20           | bpe  8| sw 19| 128x64 | {0, 0, 0, Y0, X0, Y1, X1, X2, X6^Y2, X3^Y5, X5^Y3, X4^Y4, Y4, X5, Y5, X6}
vega20           | bpe  8| sw 20|  32x16 | {0, 0, 0, X0, Y0, X1, Y1, X2, Y2, X3, Y3, X4}
vega20           | bpe  8| sw 21|  32x16 | {0, 0, 0, X0, Y0, Y1, X1, X2, Y2, X3, Y3, X4}
vega20           | bpe  8| sw 22|  32x16 | {0, 0, 0, X0, Y0, X1, X2, Y1, Y2, X3, Y3, X4}
vega20           | bpe  8| sw 23|  32x16 | {0, 0, 0, Y0, X0, Y1, X1, X2, Y2, X3, Y3, X4}
vega20           | bpe  8| sw 24| 128x64 | {0, 0, 0, X0, Y0, X1, Y1, X2, X6^Y2, X3^Y5, X5^Y3, X4^Y4, Y4, X5, Y5, X6}
vega20           | bpe  8| sw 25| 128x64 | {0, 0, 0, X0, Y0, Y1, X1, X2, X6^Y2, X3^Y5, X5^Y3, X4^Y4, Y4, X5, Y5, X6}
vega20           | bpe  8| sw 26| 128x64 | {0, 0, 0, X0, Y0, X1, X2, Y1, X6^Y2, X3^Y5, X5^Y3, X4^Y4, Y4, X5, Y5, X6}
vega20           | bpe  8| sw 27| 128x64 | {0, 0, 0, Y0, X0, Y1, X1, X2, X6^Y2, X3^Y5, X5^Y3, X4^Y4, Y4, X5, Y5, X6}
vega20           | bpe 16| sw  0|  16x1  | {0, 0, 0, 0, X0, X1, X2, X3}
vega20           | bpe 16| sw  1|   4x4  | {0, 0, 0, 0, Y0, Y1, X0, X1}
vega20           | bpe 16| sw  2|   4x4  | {0, 0, 0, 0, X0, Y0, X1, Y1}
vega20           | bpe 16| sw  5|  16x16 | {0, 0, 0, 0, Y0, Y1, X0, X1, Y2, X2, Y3, X3}
vega20           | bpe 16| sw  6|  16x16 | {0, 0, 0, 0, X0, Y0, X1, Y1, Y2, X2, Y3, X3}
vega20           | bpe 16| sw  9|  64x64 | {0, 0, 0, 0, Y0, Y1, X0, X1, Y2, X2, Y3, X3, Y4, X4, Y5, X5}
vega20           | bpe 16| sw 10|  64x64 | {0, 0, 0, 0, X0, Y0, X1, Y1, Y2, X2, Y3, X3, Y4, X4, Y5, X5}
vega20           | bpe 16| sw 17|  64x64 | {0, 0, 0, 0, Y0, Y1, X0, X1, X5^Y2, X2^Y5, X4^Y3, X3^Y4, Y4, X4, Y5, X5}
vega20           | bpe 16| sw 18|  64x64 | {0, 0, 0, 0, X0, Y0, X1, Y1, X5^Y2, X2^Y5, X4^Y3, X3^Y4, Y4, X4, Y5, X5}
vega20           | bpe 16| sw 21|  16x16 | {0, 0, 0, 0, Y0, Y1, X0, X1, Y2, X2, Y3, X3}
vega20           | bpe 16| sw 22|  16x16 | {0, 0, 0, 0, X0, Y0, X1, Y1, Y2, X2, Y3, X3}
vega20           | bpe 16| sw 25|  64x64 | {0, 0, 0, 0, Y0, Y1, X0, X1, X5^Y2, X2^Y5, X4^Y3, X3^Y4, Y4, X4, Y5, X5}
vega20           | bpe 16| sw 26|  64x64 | {0, 0, 0, 0, X0, Y0, X1, Y1, X5^Y2, X2^Y5, X4^Y3, X3^Y4, Y4, X4, Y5, X5}
navi10           | bpe  1| sw  0| 256x1  | {X0, X1, X2, X3, X4, X5, X6, X7}
navi10           | bpe  1| sw  1|  16x16 | {X0, X1, X2, X3, Y0, Y1, Y2, Y3}
navi10           | bpe  1| sw  2|  16x16 | {X0, X1, X2, Y1, Y0, Y2, X3, Y3}
navi10           | bpe  1| sw  5|  64x64 | {X0, X1, X2, X3, Y0, Y1, Y2, Y3, Y4, X4, Y5, X5}
navi10           | bpe  1| sw  6|  64x64 | {X0, X1, X2, Y1, Y0, Y2, X3, Y3, Y4, X4, Y5, X5}
navi10           | bpe  1| sw  9| 256x256| {X0, X1, X2, X3, Y0, Y1, Y2, Y3, Y4, X4, Y5, X5, Y6, X6, Y7, X7}
navi10           | bpe  1| sw 10| 256x256| {X0, X1, X2, Y1, Y0, Y2, X3, Y3, Y4, X4, Y5, X5, Y6, X6, Y7, X7}
navi10           | bpe  1| sw 17| 256x256| {X0, X1, X2, X3, Y0, Y1, Y2, Y3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
navi10           | bpe  1| sw 18| 256x256| {X0, X1, X2, Y1, Y0, Y2, X3, Y3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
navi10           | bpe  1| sw 21|  64x64 | {X0, X1, X2, X3, Y0, Y1, Y2, Y3, Y4, X4, Y5, X5}
navi10           | bpe  1| sw 22|  64x64 | {X0, X1, X2, Y1, Y0, Y2, X3, Y3, Y4, X4, Y5, X5}
navi10           | bpe  1| sw 24| 256x256| {X0, Y0, X1, Y1, X2, Y2, X3, Y4, X3^Y3, X4^Y4, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
navi10           | bpe  1| sw 25| 256x256| {X0, X1, X2, X3, Y0, Y1, Y2, Y3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
navi10           | bpe  1| sw 26| 256x256| {X0, X1, X2, Y1, Y0, Y2, X3, Y3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
navi10           | bpe  1| sw 27| 256x256| {X0, X1, X2, Y1, Y0, Y2, X3, Y4, X3^Y3, X4^Y4, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
navi10           | bpe  2| sw  0| 128x1  | {0, X0, X1, X2, X3, X4, X5, X6}
navi10           | bpe  2| sw  1|  16x8  | {0, X0, X1, X2, Y0, Y1, Y2, X3}
navi10           | bpe  2| sw  2|  16x8  | {0, X0, X1, X2, Y0, Y1, Y2, X3}
navi10           | bpe  2| sw  5|  64x32 | {0, X0, X1, X2, Y0, Y1, Y2, X3, Y3, X4, Y4, X5}
navi10           | bpe  2| sw  6|  64x32 | {0, X0, X1, X2, Y0, Y1, Y2, X3, Y3, X4, Y4, X5}
navi10           | bpe  2| sw  9| 256x128| {0, X0, X1, X2, Y0, Y1, Y2, X3, Y3, X4, Y4, X5, Y5, X6, Y6, X7}
navi10           | bpe  2| sw 10| 256x128| {0, X0, X1, X2, Y0, Y1, Y2, X3, Y3, X4, Y4, X5, Y5, X6, Y6, X7}
navi10           | bpe  2| sw 17| 256x128| {0, X0, X1, X2, Y0, Y1, Y2, X3, X7^Y3, X4^Y6, X6^Y4, X5^Y5, Y5, X6, Y6, X7}
navi10           | bpe  2| sw 18| 256x128| {0, X0, X1, X2, Y0, Y1, Y2, X3, X7^Y3, X4^Y6, X6^Y4, X5^Y5, Y5, X6, Y6, X7}
navi10           | bpe  2| sw 21|  64x32 | {0, X0, X1, X2, Y0, Y1, Y2, X3, Y3, X4, Y4, X5}
navi10           | bpe  2| sw 22|  64x32 | {0, X0, X1, X2, Y0, Y1, Y2, X3, Y3, X4, Y4, X5}
navi10           | bpe  2| sw 24| 256x128| {0, X0, Y0, X1, Y1, X2, Y2, X3, X3^Y3, X4^Y4, X6^Y5, X5^Y6, Y4, X6, Y6, X7}
navi10           | bpe  2| sw 25| 256x128| {0, X0, X1, X2, Y0, Y1, Y2, X3, X7^Y3, X4^Y6, X6^Y4, X5^Y5, Y5, X6, Y6, X7}
navi10           | bpe  2| sw 26| 256x128| {0, X0, X1, X2, Y0, Y1, Y2, X3, X7^Y3, X4^Y6, X6^Y4, X5^Y5, Y5, X6, Y6, X7}
navi10           | bpe  2| sw 27| 256x128| {0, X0, X1, X2, Y0, Y1, Y2, X3, X3^Y3, X4^Y4, X6^Y5, X5^Y6, Y4, X6, Y6, X7}
navi10           | bpe  4| sw  0|  64x1  | {0, 0, X0, X1, X2, X3, X4, X5}
navi10           | bpe  4| sw  1|   8x8  | {0, 0, X0, X1, Y0, Y1, Y2, X2}
navi10           | bpe  4| sw  2|   8x8  | {0, 0, X0, X1, Y0, Y1, Y2, X2}
navi10           | bpe  4| sw  5|  32x32 | {0, 0, X0, X1, Y0, Y1, Y2, X2, Y3, X3, Y4, X4}
navi10           | bpe  4| sw  6|  32x32 | {0, 0, X0, X1, Y0, Y1, Y2, X2, Y3, X3, Y4, X4}
navi10           | bpe  4| sw  9| 128x128| {0, 0, X0, X1, Y0, Y1, Y2, X2, Y3, X3, Y4, X4, Y5, X5, Y6, X6}
navi10           | bpe  4| sw 10| 128x128| {0, 0, X0, X1, Y0, Y1, Y2, X2, Y3, X3, Y4, X4, Y5, X5, Y6, X6}
navi10           | bpe  4| sw 17| 128x128| {0, 0, X0, X1, Y0, Y1, Y2, X2, X6^Y3, X3^Y6, X5^Y4, X4^Y5, Y5, X5, Y6, X6}
navi10           | bpe  4| sw 18| 128x128| {0, 0, X0, X1, Y0, Y1, Y2, X2, X6^Y3, X3^Y6, X5^Y4, X4^Y5, Y5, X5, Y6, X6}
navi10           | bpe  4| sw 21|  32x32 | {0, 0, X0, X1, Y0, Y1, Y2, X2, Y3, X3, Y4, X4}
navi10           | bpe  4| sw 22|  32x32 | {0, 0, X0, X1, Y0, Y1, Y2, X2, Y3, X3, Y4, X4}
navi10           | bpe  4| sw 24| 128x128| {0, 0, X0, Y0, X1, Y1, X2, Y2, X3^Y3, X4^Y4, X6^Y5, X5^Y6, Y3, X4, Y6, X6}
navi10           | bpe  4| sw 25| 128x128| {0, 0, X0, X1, Y0, Y1, Y2, X2, X6^Y3, X3^Y6, X5^Y4, X4^Y5, Y5, X5, Y6, X6}
navi10           | bpe  4| sw 26| 128x128| {0, 0, X0, X1, Y0, Y1, Y2, X2, X6^Y3, X3^Y6, X5^Y4, X4^Y5, Y5, X5, Y6, X6}
navi10           | bpe  4| sw 27| 128x128| {0, 0, X0, X1, Y0, Y1, Y2, X2, X3^Y3, X4^Y4, X6^Y5, X5^Y6, Y3, X4, Y6, X6}
navi10           | bpe  8| sw  0|  32x1  | {0, 0, 0, X0, X1, X2, X3, X4}
navi10           | bpe  8| sw  1|   8x4  | {0, 0, 0, X0, Y0, Y1, X1, X2}
navi10           | bpe  8| sw  2|   8x4  | {0, 0, 0, X0, Y0, X1, X2, Y1}
navi10           | bpe  8| sw  5|  32x16 | {0, 0, 0, X0, Y0, Y1, X1, X2, Y2, X3, Y3, X4}
navi10           | bpe  8| sw  6|  32x16 | {0, 0, 0, X0, Y0, X1, X2, Y1, Y2, X3, Y3, X4}
navi10           | bpe  8| sw  9| 128x64 | {0, 0, 0, X0, Y0, Y1, X1, X2, Y2, X3, Y3, X4, Y4, X5, Y5, X6}
navi10           | bpe  8| sw 10| 128x64 | {0, 0, 0, X0, Y0, X1, X2, Y1, Y2, X3, Y3, X4, Y4, X5, Y5, X6}
navi10           | bpe  8| sw 17| 128x64 | {0, 0, 0, X0, Y0, Y1, X1, X2, X6^Y2, X3^Y5, X5^Y3, X4^Y4, Y4, X5, Y5, X6}
navi10           | bpe  8| sw 18| 128x64 | {0, 0, 0, X0, Y0, X1, X2, Y1, X6^Y2, X3^Y5, X5^Y3, X4^Y4, Y4, X5, Y5, X6}
navi10           | bpe  8| sw 21|  32x16 | {0, 0, 0, X0, Y0, Y1, X1, X2, Y2, X3, Y3, X4}
navi10           | bpe  8| sw 22|  32x16 | {0, 0, 0, X0, Y0, X1, X2, Y1, Y2, X3, Y3, X4}
navi10           | bpe  8| sw 24| 128x64 | {0, 0, 0, X0, Y0, X1, Y1, X2, X3^Y3, X4^Y4, X6^Y5, X5, Y2, X3, Y4, X6}
navi10           | bpe  8| sw 25| 128x64 | {0, 0, 0, X0, Y0, Y1, X1, X2, X6^Y2, X3^Y5, X5^Y3, X4^Y4, Y4, X5, Y5, X6}
navi10           | bpe  8| sw 26| 128x64 | {0, 0, 0, X0, Y0, X1, X2, Y1, X6^Y2, X3^Y5, X5^Y3, X4^Y4, Y4, X5, Y5, X6}
navi10           | bpe  8| sw 27| 128x64 | {0, 0, 0, X0, Y0, X1, X2, Y1, X3^Y3, X4^Y4, X6^Y5, X5, Y2, X3, Y4, X6}
navi10           | bpe 16| sw  0|  16x1  | {0, 0, 0, 0, X0, X1, X2, X3}
navi10           | bpe 16| sw  1|   4x4  | {0, 0, 0, 0, Y0, Y1, X0, X1}
navi10           | bpe 16| sw  2|   4x4  | {0, 0, 0, 0, X0, Y0, X1, Y1}
navi10           | bpe 16| sw  5|  16x16 | {0, 0, 0, 0, Y0, Y1, X0, X1, Y2, X2, Y3, X3}
navi10           | bpe 16| sw  6|  16x16 | {0, 0, 0, 0, X0, Y0, X1, Y1, Y2, X2, Y3, X3}
navi10           | bpe 16| sw  9|  64x64 | {0, 0, 0, 0, Y0, Y1, X0, X1, Y2, X2, Y3, X3, Y4, X4, Y5, X5}
